restaurant_id,restaurant_name,category,city,district,address,latitude,longitude,cuisine_type,price_level,avg_price_vnd,rating,review_count,popularity_score,opening_hours,amenities_raw,description_raw,recommended_segments,known_strengths,known_weaknesses,poi_quality_score
RES001,Phở Bếp Nhà,Nhà hàng,Hà Nội,Hoàn Kiếm,"2 Trần Phú, Hoàn Kiếm, Hà Nội",21.040388,105.844615,Việt Nam,Bình dân,68289,3.8,608,55,09:00-23:00,"View đẹp, Đặt bàn trước, Wi-Fi miễn phí, Nhạc nhẹ, Bãi đỗ xe, Phù hợp trẻ em","Phở Bếp Nhà là nhà hàng tại Hoàn Kiếm, Hà Nội, chuyên ẩm thực Việt Nam. Quán có view đẹp, đặt bàn trước, wi-fi miễn phí, nhạc nhẹ, bãi đỗ xe và phù hợp cho gia đình, ăn nhanh, du lịch.","Gia đình, Ăn nhanh, Du lịch, Tiết kiệm","thực đơn đa dạng, phù hợp gia đình, vị trí thuận tiện","ồn vào buổi tối, chờ món lâu giờ cao điểm",0.88
RES002,Bún Chả Phố Cổ,Nhà hàng,TP. Hồ Chí Minh,Quận 1,"26 Võ Nguyên Giáp, Quận 1, TP. Hồ Chí Minh",10.763578,106.709041,Việt Nam,Bình dân,99797,4.8,734,46,10:00-02:00,"View đẹp, Máy lạnh, Wi-Fi miễn phí, Giao hàng, Phù hợp trẻ em, Bãi đỗ xe, Không gian ngoài trời","Bún Chả Phố Cổ là nhà hàng tại Quận 1, TP. Hồ Chí Minh, chuyên ẩm thực Việt Nam. Quán có view đẹp, máy lạnh, wi-fi miễn phí, giao hàng, phù hợp trẻ em và phù hợp cho du lịch, ăn nhanh, ăn chay.","Du lịch, Ăn nhanh, Ăn chay, Gia đình","phục vụ nhanh, món ăn ngon, vị trí thuận tiện","chờ món lâu giờ cao điểm, đông vào cuối tuần",0.97
RES003,Cơm Tấm Sài Gòn Xưa,Nhà hàng,Đà Nẵng,Sơn Trà,"55 Hùng Vương, Sơn Trà, Đà Nẵng",16.090382,108.209681,Việt Nam,Trung bình,279680,4.1,474,82,06:00-14:00,"Phù hợp trẻ em, Mở cửa khuya, Không gian ngoài trời, Phòng riêng, Giao hàng, Đặt bàn trước","Cơm Tấm Sài Gòn Xưa là nhà hàng tại Sơn Trà, Đà Nẵng, chuyên ẩm thực Việt Nam. Quán có phù hợp trẻ em, mở cửa khuya, không gian ngoài trời, phòng riêng, giao hàng và phù hợp cho ăn chay, ăn nhanh, du lịch.","Ăn chay, Ăn nhanh, Du lịch, Hẹn hò, Gia đình","món ăn ngon, vị trí thuận tiện, khẩu vị ổn định","ít món chay, không gian hơi nhỏ",0.88
RES004,Nhà Hàng Biển Xanh,Nhà hàng,Nha Trang,Lộc Thọ,"175 Võ Nguyên Giáp, Lộc Thọ, Nha Trang",12.244585,109.189786,Hải sản,Trung bình,184651,4.8,984,49,11:00-23:30,"Mở cửa khuya, View đẹp, Đặt bàn trước, Có ghế trẻ em, Nhạc nhẹ, Thanh toán thẻ, Bãi đỗ xe","Nhà Hàng Biển Xanh là nhà hàng tại Lộc Thọ, Nha Trang, chuyên ẩm thực Hải sản. Quán có mở cửa khuya, view đẹp, đặt bàn trước, có ghế trẻ em, nhạc nhẹ và phù hợp cho ăn chay, cao cấp.","Ăn chay, Cao cấp","phục vụ nhanh, món ăn ngon, khẩu vị ổn định","giá hơi cao, ít món chay",0.86
RES005,Mộc Vegan Bistro,Nhà hàng chay,Hạ Long,Bãi Cháy,"139 Hùng Vương, Bãi Cháy, Hạ Long",20.97621,107.085937,Chay,Bình dân,65014,4.3,1178,95,06:00-14:00,"Bãi đỗ xe, Máy lạnh, Đặt bàn trước, Phòng riêng, Giao hàng, Wi-Fi miễn phí, Thanh toán thẻ","Mộc Vegan Bistro là nhà hàng chay tại Bãi Cháy, Hạ Long, chuyên ẩm thực Chay. Quán có bãi đỗ xe, máy lạnh, đặt bàn trước, phòng riêng, giao hàng và phù hợp cho ăn chay, hẹn hò, nhóm bạn.","Ăn chay, Hẹn hò, Nhóm bạn","phục vụ nhanh, không gian sạch sẽ, vị trí thuận tiện","giá hơi cao, ồn vào buổi tối",0.95
RES006,Gà Nướng Lá Chanh,Nhà hàng,Đà Lạt,Phường 1,"177 Trần Phú, Phường 1, Đà Lạt",11.953177,108.45224,Việt Nam,Trung bình,135184,3.8,788,96,10:00-02:00,"Bãi đỗ xe, Mở cửa khuya, Giao hàng, Có ghế trẻ em, Phù hợp trẻ em","Gà Nướng Lá Chanh là nhà hàng tại Phường 1, Đà Lạt, chuyên ẩm thực Việt Nam. Quán có bãi đỗ xe, mở cửa khuya, giao hàng, có ghế trẻ em, phù hợp trẻ em và phù hợp cho cao cấp, hẹn hò, gia đình.","Cao cấp, Hẹn hò, Gia đình","không gian sạch sẽ, thực đơn đa dạng, phù hợp gia đình","không gian hơi nhỏ, chờ món lâu giờ cao điểm",0.95
RES007,Hải Sản Sóng Vàng,Nhà hàng,Huế,Phú Hội,"139 Trần Phú, Phú Hội, Huế",16.477101,107.613843,Hải sản,Bình dân,79451,4.8,969,47,11:00-23:30,"View đẹp, Phù hợp trẻ em, Không gian ngoài trời, Có ghế trẻ em, Nhạc nhẹ","Hải Sản Sóng Vàng là nhà hàng tại Phú Hội, Huế, chuyên ẩm thực Hải sản. Quán có view đẹp, phù hợp trẻ em, không gian ngoài trời, có ghế trẻ em, nhạc nhẹ và phù hợp cho gia đình, ăn nhanh, ăn chay.","Gia đình, Ăn nhanh, Ăn chay, Tiết kiệm","giá hợp lý, phục vụ nhanh, vị trí thuận tiện","chờ món lâu giờ cao điểm, ít món chay",0.91
RES008,The Coffee & Brunch,Quán cà phê,Hà Nội,Hoàn Kiếm,"119 Trần Phú, Hoàn Kiếm, Hà Nội",21.050969,105.828723,Halal,Trung bình,144726,4,1013,91,11:00-23:30,"Thanh toán thẻ, Đặt bàn trước, Mở cửa khuya, Giao hàng, Wi-Fi miễn phí, Bãi đỗ xe, Phù hợp trẻ em, Không gian ngoài trời","The Coffee & Brunch là quán cà phê tại Hoàn Kiếm, Hà Nội, chuyên ẩm thực Halal. Quán có thanh toán thẻ, đặt bàn trước, mở cửa khuya, giao hàng, wi-fi miễn phí và phù hợp cho ăn nhanh, ăn chay, gia đình.","Ăn nhanh, Ăn chay, Gia đình","vị trí thuận tiện, thực đơn đa dạng, view đẹp","giá hơi cao, không gian hơi nhỏ",0.87
RES009,Lẩu Nấm An Nhiên,Nhà hàng,TP. Hồ Chí Minh,Quận 1,"15 Hùng Vương, Quận 1, TP. Hồ Chí Minh",10.791044,106.674557,Hải sản,Bình dân,62224,3.8,1152,93,10:00-02:00,"Giao hàng, Có ghế trẻ em, Không gian ngoài trời, Đặt bàn trước, Wi-Fi miễn phí, Phòng riêng, Nhạc nhẹ, Phù hợp trẻ em","Lẩu Nấm An Nhiên là nhà hàng tại Quận 1, TP. Hồ Chí Minh, chuyên ẩm thực Hải sản. Quán có giao hàng, có ghế trẻ em, không gian ngoài trời, đặt bàn trước, wi-fi miễn phí và phù hợp cho cao cấp, nhóm bạn, ăn nhanh.","Cao cấp, Nhóm bạn, Ăn nhanh, Gia đình","thực đơn đa dạng, view đẹp, nhân viên thân thiện","không gian hơi nhỏ, giá hơi cao",0.87
RES010,Pizza Roma,Nhà hàng,Đà Nẵng,Sơn Trà,"81 Trần Phú, Sơn Trà, Đà Nẵng",16.053737,108.198653,Ý,Cao cấp,546248,3.8,1021,72,10:00-02:00,"Phòng riêng, Bãi đỗ xe, View đẹp, Mở cửa khuya, Không gian ngoài trời","Pizza Roma là nhà hàng tại Sơn Trà, Đà Nẵng, chuyên ẩm thực Ý. Quán có phòng riêng, bãi đỗ xe, view đẹp, mở cửa khuya, không gian ngoài trời và phù hợp cho ăn nhanh, gia đình, nhóm bạn.","Ăn nhanh, Gia đình, Nhóm bạn, Cao cấp","phù hợp gia đình, thực đơn đa dạng, giá hợp lý","chờ món lâu giờ cao điểm, chỗ đậu xe hạn chế",0.94
