review_id,restaurant_id,restaurant_name,review_text,sentiment_label,rating,customer_type,review_date,mentioned_aspects
REV0001,RES001,Phở Bếp Nhà,Tôi thích vị trí thuận tiện và phù hợp gia đình. Phở Bếp Nhà phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-01-28,"vị trí thuận tiện, phù hợp gia đình"
REV0002,RES001,Phở Bếp Nhà,"Phở Bếp Nhà có vị trí thuận tiện, nhưng ồn vào buổi tối. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-01-13,"vị trí thuận tiện, ồn vào buổi tối"
REV0003,RES001,Phở Bếp Nhà,"Phở Bếp Nhà có vị trí thuận tiện, nhưng ồn vào buổi tối. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-01-14,"vị trí thuận tiện, ồn vào buổi tối"
REV0004,RES001,Phở Bếp Nhà,Tôi thích phù hợp gia đình và vị trí thuận tiện. Phở Bếp Nhà phù hợp cho bữa ăn của tôi.,Tích cực,4,Cặp đôi,2026-01-02,"phù hợp gia đình, vị trí thuận tiện"
REV0005,RES001,Phở Bếp Nhà,Trải nghiệm chưa tốt vì ồn vào buổi tối và chờ món lâu giờ cao điểm. Cần cải thiện.,Tiêu cực,3,Công tác,2026-06-16,"ồn vào buổi tối, chờ món lâu giờ cao điểm"
REV0006,RES002,Bún Chả Phố Cổ,Tôi thích món ăn ngon và vị trí thuận tiện. Bún Chả Phố Cổ phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-01-23,"món ăn ngon, vị trí thuận tiện"
REV0007,RES002,Bún Chả Phố Cổ,"Bún Chả Phố Cổ có phục vụ nhanh, nhưng chờ món lâu giờ cao điểm. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-04-17,"phục vụ nhanh, chờ món lâu giờ cao điểm"
REV0008,RES002,Bún Chả Phố Cổ,Trải nghiệm chưa tốt vì chờ món lâu giờ cao điểm và đông vào cuối tuần. Cần cải thiện.,Tiêu cực,3,Công tác,2026-02-17,"chờ món lâu giờ cao điểm, đông vào cuối tuần"
REV0009,RES002,Bún Chả Phố Cổ,Trải nghiệm chưa tốt vì đông vào cuối tuần và chờ món lâu giờ cao điểm. Cần cải thiện.,Tiêu cực,2,Bạn bè,2026-05-26,"đông vào cuối tuần, chờ món lâu giờ cao điểm"
REV0010,RES002,Bún Chả Phố Cổ,"Bún Chả Phố Cổ có món ăn ngon, nhưng đông vào cuối tuần. Nhìn chung tạm ổn.",Trung lập,3,Công tác,2026-06-14,"món ăn ngon, đông vào cuối tuần"
REV0011,RES003,Cơm Tấm Sài Gòn Xưa,Tôi thích vị trí thuận tiện và món ăn ngon. Cơm Tấm Sài Gòn Xưa phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-02-19,"vị trí thuận tiện, món ăn ngon"
REV0012,RES003,Cơm Tấm Sài Gòn Xưa,"Cơm Tấm Sài Gòn Xưa có vị trí thuận tiện, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Công tác,2026-06-15,"vị trí thuận tiện, ít món chay"
REV0013,RES003,Cơm Tấm Sài Gòn Xưa,Tôi thích món ăn ngon và khẩu vị ổn định. Cơm Tấm Sài Gòn Xưa phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-05-26,"món ăn ngon, khẩu vị ổn định"
REV0014,RES003,Cơm Tấm Sài Gòn Xưa,"Cơm Tấm Sài Gòn Xưa có món ăn ngon, nhưng ít món chay. Nhìn chung tạm ổn.",Trung lập,3,Một mình,2026-06-13,"món ăn ngon, ít món chay"
REV0015,RES003,Cơm Tấm Sài Gòn Xưa,Trải nghiệm chưa tốt vì không gian hơi nhỏ và ít món chay. Cần cải thiện.,Tiêu cực,2,Công tác,2026-06-21,"không gian hơi nhỏ, ít món chay"
REV0016,RES004,Nhà Hàng Biển Xanh,Tôi thích phục vụ nhanh và món ăn ngon. Nhà Hàng Biển Xanh phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-01-02,"phục vụ nhanh, món ăn ngon"
REV0017,RES004,Nhà Hàng Biển Xanh,Tôi thích phục vụ nhanh và món ăn ngon. Nhà Hàng Biển Xanh phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-03-19,"phục vụ nhanh, món ăn ngon"
REV0018,RES004,Nhà Hàng Biển Xanh,"Nhà Hàng Biển Xanh có khẩu vị ổn định, nhưng giá hơi cao. Nhìn chung tạm ổn.",Trung lập,3,Bạn bè,2026-06-17,"khẩu vị ổn định, giá hơi cao"
REV0019,RES004,Nhà Hàng Biển Xanh,Tôi thích phục vụ nhanh và khẩu vị ổn định. Nhà Hàng Biển Xanh phù hợp cho bữa ăn của tôi.,Tích cực,4,Công tác,2026-03-20,"phục vụ nhanh, khẩu vị ổn định"
REV0020,RES004,Nhà Hàng Biển Xanh,Tôi thích khẩu vị ổn định và món ăn ngon. Nhà Hàng Biển Xanh phù hợp cho bữa ăn của tôi.,Tích cực,4,Bạn bè,2026-04-05,"khẩu vị ổn định, món ăn ngon"
REV0021,RES005,Mộc Vegan Bistro,"Mộc Vegan Bistro có phục vụ nhanh, nhưng giá hơi cao. Nhìn chung tạm ổn.",Trung lập,3,Công tác,2026-02-09,"phục vụ nhanh, giá hơi cao"
REV0022,RES005,Mộc Vegan Bistro,Tôi thích vị trí thuận tiện và không gian sạch sẽ. Mộc Vegan Bistro phù hợp cho bữa ăn của tôi.,Tích cực,5,Một mình,2026-05-01,"vị trí thuận tiện, không gian sạch sẽ"
REV0023,RES005,Mộc Vegan Bistro,"Mộc Vegan Bistro có vị trí thuận tiện, nhưng giá hơi cao. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-06-24,"vị trí thuận tiện, giá hơi cao"
REV0024,RES005,Mộc Vegan Bistro,"Mộc Vegan Bistro có phục vụ nhanh, nhưng ồn vào buổi tối. Nhìn chung tạm ổn.",Trung lập,3,Một mình,2026-06-30,"phục vụ nhanh, ồn vào buổi tối"
REV0025,RES005,Mộc Vegan Bistro,Tôi thích vị trí thuận tiện và phục vụ nhanh. Mộc Vegan Bistro phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-05-10,"vị trí thuận tiện, phục vụ nhanh"
REV0026,RES006,Gà Nướng Lá Chanh,Tôi thích phù hợp gia đình và không gian sạch sẽ. Gà Nướng Lá Chanh phù hợp cho bữa ăn của tôi.,Tích cực,4,Bạn bè,2026-05-14,"phù hợp gia đình, không gian sạch sẽ"
REV0027,RES006,Gà Nướng Lá Chanh,Tôi thích phù hợp gia đình và không gian sạch sẽ. Gà Nướng Lá Chanh phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-05-11,"phù hợp gia đình, không gian sạch sẽ"
REV0028,RES006,Gà Nướng Lá Chanh,Tôi thích không gian sạch sẽ và thực đơn đa dạng. Gà Nướng Lá Chanh phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-04-17,"không gian sạch sẽ, thực đơn đa dạng"
REV0029,RES006,Gà Nướng Lá Chanh,Tôi thích không gian sạch sẽ và thực đơn đa dạng. Gà Nướng Lá Chanh phù hợp cho bữa ăn của tôi.,Tích cực,5,Gia đình,2026-04-12,"không gian sạch sẽ, thực đơn đa dạng"
REV0030,RES006,Gà Nướng Lá Chanh,Tôi thích không gian sạch sẽ và phù hợp gia đình. Gà Nướng Lá Chanh phù hợp cho bữa ăn của tôi.,Tích cực,4,Gia đình,2026-04-19,"không gian sạch sẽ, phù hợp gia đình"
REV0031,RES007,Hải Sản Sóng Vàng,Tôi thích giá hợp lý và vị trí thuận tiện. Hải Sản Sóng Vàng phù hợp cho bữa ăn của tôi.,Tích cực,4,Công tác,2026-01-09,"giá hợp lý, vị trí thuận tiện"
REV0032,RES007,Hải Sản Sóng Vàng,Tôi thích giá hợp lý và vị trí thuận tiện. Hải Sản Sóng Vàng phù hợp cho bữa ăn của tôi.,Tích cực,5,Bạn bè,2026-04-08,"giá hợp lý, vị trí thuận tiện"
REV0033,RES007,Hải Sản Sóng Vàng,Tôi thích phục vụ nhanh và vị trí thuận tiện. Hải Sản Sóng Vàng phù hợp cho bữa ăn của tôi.,Tích cực,4,Một mình,2026-02-04,"phục vụ nhanh, vị trí thuận tiện"
REV0034,RES007,Hải Sản Sóng Vàng,"Hải Sản Sóng Vàng có phục vụ nhanh, nhưng chờ món lâu giờ cao điểm. Nhìn chung tạm ổn.",Trung lập,3,Cặp đôi,2026-05-18,"phục vụ nhanh, chờ món lâu giờ cao điểm"
REV0035,RES007,Hải Sản Sóng Vàng,Tôi thích giá hợp lý và vị trí thuận tiện. Hải Sản Sóng Vàng phù hợp cho bữa ăn của tôi.,Tích cực,4,Gia đình,2026-03-18,"giá hợp lý, vị trí thuận tiện"
REV0036,RES008,The Coffee & Brunch,Tôi thích view đẹp và thực đơn đa dạng. The Coffee & Brunch phù hợp cho bữa ăn của tôi.,Tích cực,5,Cặp đôi,2026-03-05,"view đẹp, thực đơn đa dạng"
