menu_item_id,restaurant_id,restaurant_name,dish_name,menu_category,price_vnd,ingredients,dietary_tags,spicy_level,is_signature,availability_status,description
MENU0001,RES001,Phở Bếp Nhà,Phở bò tái,Món chính,80397,"bò, bánh phở, nước dùng",,Không cay,Không,Còn món,"Phở bò tái tại Phở Bếp Nhà với nguyên liệu bò, bánh phở, nước dùng."
MENU0002,RES001,Phở Bếp Nhà,Bún chả,Món chính,100845,"thịt heo, bún, nước mắm",,Không cay,Có,Còn món,"Bún chả tại Phở Bếp Nhà với nguyên liệu thịt heo, bún, nước mắm."
MENU0003,RES001,Phở Bếp Nhà,Gỏi cuốn,Khai vị,67781,"tôm, rau, bánh tráng",,Không cay,Có,Tạm hết,"Gỏi cuốn tại Phở Bếp Nhà với nguyên liệu tôm, rau, bánh tráng."
MENU0004,RES001,Phở Bếp Nhà,Cơm tấm sườn,Món chính,107036,"sườn, cơm, trứng",gluten-free,Không cay,Có,Còn món,"Cơm tấm sườn tại Phở Bếp Nhà với nguyên liệu sườn, cơm, trứng."
MENU0005,RES001,Phở Bếp Nhà,Mì Quảng gà,Món chính,83633,"gà, mì quảng, đậu phộng",,Cay,Không,Còn món,"Mì Quảng gà tại Phở Bếp Nhà với nguyên liệu gà, mì quảng, đậu phộng."
MENU0006,RES001,Phở Bếp Nhà,Khoai tây chiên,Món phụ,85585,khoai tây,chay,Không cay,Không,Còn món,Khoai tây chiên tại Phở Bếp Nhà với nguyên liệu khoai tây.
MENU0007,RES001,Phở Bếp Nhà,Bánh flan,Tráng miệng,52942,"trứng, sữa",chay,Không cay,Không,Còn món,"Bánh flan tại Phở Bếp Nhà với nguyên liệu trứng, sữa."
MENU0008,RES002,Bún Chả Phố Cổ,Phở bò tái,Món chính,85382,"bò, bánh phở, nước dùng",,Không cay,Không,Còn món,"Phở bò tái tại Bún Chả Phố Cổ với nguyên liệu bò, bánh phở, nước dùng."
MENU0009,RES002,Bún Chả Phố Cổ,Bún chả,Món chính,97965,"thịt heo, bún, nước mắm",,Không cay,Không,Còn món,"Bún chả tại Bún Chả Phố Cổ với nguyên liệu thịt heo, bún, nước mắm."
MENU0010,RES002,Bún Chả Phố Cổ,Gỏi cuốn,Khai vị,65820,"tôm, rau, bánh tráng",,Không cay,Không,Còn món,"Gỏi cuốn tại Bún Chả Phố Cổ với nguyên liệu tôm, rau, bánh tráng."
MENU0011,RES002,Bún Chả Phố Cổ,Cơm tấm sườn,Món chính,111286,"sườn, cơm, trứng",gluten-free,Không cay,Không,Còn món,"Cơm tấm sườn tại Bún Chả Phố Cổ với nguyên liệu sườn, cơm, trứng."
MENU0012,RES002,Bún Chả Phố Cổ,Mì Quảng gà,Món chính,82810,"gà, mì quảng, đậu phộng",,Không cay,Không,Còn món,"Mì Quảng gà tại Bún Chả Phố Cổ với nguyên liệu gà, mì quảng, đậu phộng."
MENU0013,RES002,Bún Chả Phố Cổ,Khoai tây chiên,Món phụ,63906,khoai tây,chay,Không cay,Không,Còn món,Khoai tây chiên tại Bún Chả Phố Cổ với nguyên liệu khoai tây.
MENU0014,RES002,Bún Chả Phố Cổ,Bánh flan,Tráng miệng,47434,"trứng, sữa",chay,Ít cay,Không,Còn món,"Bánh flan tại Bún Chả Phố Cổ với nguyên liệu trứng, sữa."
MENU0015,RES003,Cơm Tấm Sài Gòn Xưa,Phở bò tái,Món chính,90467,"bò, bánh phở, nước dùng",,Cay,Không,Còn món,"Phở bò tái tại Cơm Tấm Sài Gòn Xưa với nguyên liệu bò, bánh phở, nước dùng."
MENU0016,RES003,Cơm Tấm Sài Gòn Xưa,Bún chả,Món chính,107848,"thịt heo, bún, nước mắm",,Cay vừa,Không,Còn món,"Bún chả tại Cơm Tấm Sài Gòn Xưa với nguyên liệu thịt heo, bún, nước mắm."
MENU0017,RES003,Cơm Tấm Sài Gòn Xưa,Gỏi cuốn,Khai vị,69600,"tôm, rau, bánh tráng",,Không cay,Có,Còn món,"Gỏi cuốn tại Cơm Tấm Sài Gòn Xưa với nguyên liệu tôm, rau, bánh tráng."
MENU0018,RES003,Cơm Tấm Sài Gòn Xưa,Cơm tấm sườn,Món chính,95055,"sườn, cơm, trứng",,Không cay,Không,Còn món,"Cơm tấm sườn tại Cơm Tấm Sài Gòn Xưa với nguyên liệu sườn, cơm, trứng."
MENU0019,RES003,Cơm Tấm Sài Gòn Xưa,Mì Quảng gà,Món chính,74814,"gà, mì quảng, đậu phộng",gluten-free,Không cay,Có,Còn món,"Mì Quảng gà tại Cơm Tấm Sài Gòn Xưa với nguyên liệu gà, mì quảng, đậu phộng."
MENU0020,RES003,Cơm Tấm Sài Gòn Xưa,Nước suối,Đồ uống,20053,nước,chay,Cay,Không,Còn món,Nước suối tại Cơm Tấm Sài Gòn Xưa với nguyên liệu nước.
MENU0021,RES003,Cơm Tấm Sài Gòn Xưa,Trà đào cam sả,Đồ uống,52772,"trà, đào, cam","chay, gluten-free",Không cay,Không,Còn món,"Trà đào cam sả tại Cơm Tấm Sài Gòn Xưa với nguyên liệu trà, đào, cam."
MENU0022,RES004,Nhà Hàng Biển Xanh,Tôm nướng muối ớt,Món chính,233508,"tôm, ớt, muối",,Không cay,Không,Còn món,"Tôm nướng muối ớt tại Nhà Hàng Biển Xanh với nguyên liệu tôm, ớt, muối."
MENU0023,RES004,Nhà Hàng Biển Xanh,Mực hấp gừng,Món chính,180120,"mực, gừng",,Cay vừa,Không,Còn món,"Mực hấp gừng tại Nhà Hàng Biển Xanh với nguyên liệu mực, gừng."
MENU0024,RES004,Nhà Hàng Biển Xanh,Lẩu hải sản,Món chính,432848,"tôm, mực, cá, rau",,Cay vừa,Có,Còn món,"Lẩu hải sản tại Nhà Hàng Biển Xanh với nguyên liệu tôm, mực, cá, rau."
MENU0025,RES004,Nhà Hàng Biển Xanh,Cá nướng giấy bạc,Món chính,277971,"cá, sả, ớt",,Không cay,Không,Tạm hết,"Cá nướng giấy bạc tại Nhà Hàng Biển Xanh với nguyên liệu cá, sả, ớt."
MENU0026,RES004,Nhà Hàng Biển Xanh,Nước suối,Đồ uống,20066,nước,chay,Không cay,Có,Còn món,Nước suối tại Nhà Hàng Biển Xanh với nguyên liệu nước.
